doc_id,tag_text,tag_id
1545,STRATEGY: Disclosure - About inputs,47
2097,STRATEGY: Disclosure - About inputs,47
2002,STRATEGY: Disclosure - About inputs,47
1723,STRATEGY: Disclosure - About inputs,47
1806,STRATEGY: Disclosure - About inputs,47
1828,STRATEGY: Disclosure - About inputs,47
637,STRATEGY: Disclosure - About inputs,47
2096,STRATEGY: Disclosure - About inputs,47
1996,STRATEGY: Disclosure - About inputs,47
1974,STRATEGY: Disclosure - About inputs,47
1972,STRATEGY: Disclosure - About inputs,47
1826,STRATEGY: Disclosure - About inputs,47
1356,STRATEGY: Disclosure - About inputs,47
1396,STRATEGY: Disclosure - About inputs,47
1417,STRATEGY: Disclosure - About inputs,47
1383,STRATEGY: Disclosure - About inputs,47
1737,STRATEGY: Disclosure - About inputs,47
1782,STRATEGY: Disclosure - About inputs,47
1783,STRATEGY: Disclosure - About inputs,47
1815,STRATEGY: Disclosure - About inputs,47
1087,STRATEGY: Disclosure - About inputs,47
1109,STRATEGY: Disclosure - About inputs,47
307,STRATEGY: Disclosure - About inputs,47
277,STRATEGY: Disclosure - About inputs,47
906,STRATEGY: Disclosure - About inputs,47
1376,STRATEGY: Disclosure - About inputs,47
771,STRATEGY: Disclosure - About inputs,47
395,STRATEGY: Disclosure - About inputs,47
416,STRATEGY: Disclosure - About inputs,47
397,STRATEGY: Disclosure - About inputs,47
436,STRATEGY: Disclosure - About inputs,47
400,STRATEGY: Disclosure - About inputs,47
793,STRATEGY: Disclosure - About inputs,47
560,STRATEGY: Disclosure - About inputs,47
604,STRATEGY: Disclosure - About inputs,47
874,STRATEGY: Disclosure - About inputs,47
988,STRATEGY: Disclosure - About inputs,47
889,STRATEGY: Disclosure - About inputs,47
1009,STRATEGY: Disclosure - About inputs,47
1303,STRATEGY: Disclosure - About inputs,47
288,STRATEGY: Disclosure - About inputs,47
1371,STRATEGY: Disclosure - About inputs,47
329,STRATEGY: Disclosure - About inputs,47
278,STRATEGY: Disclosure - About inputs,47
995,STRATEGY: Disclosure - About inputs,47
368,STRATEGY: Disclosure - About inputs,47
294,STRATEGY: Disclosure - About inputs,47
284,STRATEGY: Disclosure - About inputs,47
287,STRATEGY: Disclosure - About inputs,47
280,STRATEGY: Disclosure - About inputs,47
1377,STRATEGY: Disclosure - About inputs,47
757,STRATEGY: Disclosure - About inputs,47
1387,STRATEGY: Disclosure - About inputs,47
281,STRATEGY: Disclosure - About inputs,47
1558,STRATEGY: Disclosure - Accuracy thereof,48
2096,STRATEGY: Disclosure - Accuracy thereof,48
1974,STRATEGY: Disclosure - Accuracy thereof,48
1997,STRATEGY: Disclosure - Accuracy thereof,48
1383,STRATEGY: Disclosure - Accuracy thereof,48
1782,STRATEGY: Disclosure - Accuracy thereof,48
148,STRATEGY: Disclosure - Accuracy thereof,48
178,STRATEGY: Disclosure - Accuracy thereof,48
174,STRATEGY: Disclosure - Accuracy thereof,48
906,STRATEGY: Disclosure - Accuracy thereof,48
1305,STRATEGY: Disclosure - Accuracy thereof,48
1202,STRATEGY: Disclosure - Accuracy thereof,48
995,STRATEGY: Disclosure - Accuracy thereof,48
37,STRATEGY: Disclosure - Accuracy thereof,48
757,STRATEGY: Disclosure - Accuracy thereof,48
2052,STRATEGY: Disclosure - In deployment,49
1554,STRATEGY: Disclosure - In deployment,49
1562,STRATEGY: Disclosure - In deployment,49
1549,STRATEGY: Disclosure - In deployment,49
1734,STRATEGY: Disclosure - In deployment,49
1558,STRATEGY: Disclosure - In deployment,49
1553,STRATEGY: Disclosure - In deployment,49
1560,STRATEGY: Disclosure - In deployment,49
2097,STRATEGY: Disclosure - In deployment,49
1379,STRATEGY: Disclosure - In deployment,49
2002,STRATEGY: Disclosure - In deployment,49
1806,STRATEGY: Disclosure - In deployment,49
447,STRATEGY: Disclosure - In deployment,49
1054,STRATEGY: Disclosure - In deployment,49
1828,STRATEGY: Disclosure - In deployment,49
637,STRATEGY: Disclosure - In deployment,49
2096,STRATEGY: Disclosure - In deployment,49
1996,STRATEGY: Disclosure - In deployment,49
2047,STRATEGY: Disclosure - In deployment,49
1974,STRATEGY: Disclosure - In deployment,49
1678,STRATEGY: Disclosure - In deployment,49
1991,STRATEGY: Disclosure - In deployment,49
904,STRATEGY: Disclosure - In deployment,49
1972,STRATEGY: Disclosure - In deployment,49
1826,STRATEGY: Disclosure - In deployment,49
1032,STRATEGY: Disclosure - In deployment,49
1356,STRATEGY: Disclosure - In deployment,49
1396,STRATEGY: Disclosure - In deployment,49
2040,STRATEGY: Disclosure - In deployment,49
1417,STRATEGY: Disclosure - In deployment,49
1383,STRATEGY: Disclosure - In deployment,49
1382,STRATEGY: Disclosure - In deployment,49
1737,STRATEGY: Disclosure - In deployment,49
1782,STRATEGY: Disclosure - In deployment,49
1802,STRATEGY: Disclosure - In deployment,49
1815,STRATEGY: Disclosure - In deployment,49
1803,STRATEGY: Disclosure - In deployment,49
2019,STRATEGY: Disclosure - In deployment,49
1053,STRATEGY: Disclosure - In deployment,49
571,STRATEGY: Disclosure - In deployment,49
1087,STRATEGY: Disclosure - In deployment,49
1109,STRATEGY: Disclosure - In deployment,49
987,STRATEGY: Disclosure - In deployment,49
72,STRATEGY: Disclosure - In deployment,49
307,STRATEGY: Disclosure - In deployment,49
244,STRATEGY: Disclosure - In deployment,49
168,STRATEGY: Disclosure - In deployment,49
304,STRATEGY: Disclosure - In deployment,49
148,STRATEGY: Disclosure - In deployment,49
201,STRATEGY: Disclosure - In deployment,49
233,STRATEGY: Disclosure - In deployment,49
277,STRATEGY: Disclosure - In deployment,49
177,STRATEGY: Disclosure - In deployment,49
1198,STRATEGY: Disclosure - In deployment,49
826,STRATEGY: Disclosure - In deployment,49
906,STRATEGY: Disclosure - In deployment,49
36,STRATEGY: Disclosure - In deployment,49
554,STRATEGY: Disclosure - In deployment,49
1376,STRATEGY: Disclosure - In deployment,49
771,STRATEGY: Disclosure - In deployment,49
395,STRATEGY: Disclosure - In deployment,49
416,STRATEGY: Disclosure - In deployment,49
441,STRATEGY: Disclosure - In deployment,49
448,STRATEGY: Disclosure - In deployment,49
